9999999,1593,1327,947,234,1800,625,700,754,790,529,395,1385,856,1179,821,1085,385,730,1808,915,2076,1120,1002,1297,1026,592,1448,694,743,2254,880,1137,330,1121,449
1619,9999999,595,2128,1674,834,1348,1620,1183,1050,1629,1339,2444,2039,2350,1646,1334,1322,1167,1079,1182,624,2307,2171,478,2272,1923,1192,1837,982,1060,2132,2312,1884,1047,1513
1310,680,9999999,1754,1279,787,900,1153,759,612,1201,1098,1918,1682,1858,1148,876,975,761,759,639,820,1759,1651,417,1694,1459,718,1292,566,1005,1632,1870,1540,493,1131
827,2103,1692,9999999,759,2236,834,724,970,1102,604,1227,535,54,493,551,1165,1066,974,1908,1239,2379,508,124,1677,311,386,1483,590,1382,2444,204,391,614,1437,820
217,1673,1366,796,9999999,1941,696,570,899,793,452,515,1094,619,1003,758,937,524,615,1760,1020,2103,1133,749,1323,900,465,1379,477,762,2222,632,1020,317,1178,247
1892,856,780,2205,2014,9999999,1544,1649,1258,1170,1709,1716,2377,2141,2443,1629,1320,1686,1395,378,1015,383,2367,2191,833,2283,2062,800,1897,1257,448,2138,2287,2109,803,1810
660,1316,893,780,592,1407,9999999,323,304,464,344,787,1129,839,1180,507,450,669,189,1400,416,1760,992,905,963,975,745,890,503,643,1901,829,1118,775,749,403
673,1626,1168,719,438,1582,366,9999999,537,648,217,787,1031,541,896,370,568,609,434,1536,589,1928,807,792,1282,790,677,930,214,705,1993,690,926,561,936,442
786,1289,682,1059,885,1353,297,547,9999999,328,632,937,1377,1023,1316,495,332,849,227,1130,254,1474,1322,1106,933,1097,955,530,617,535,1634,949,1254,884,521,702
776,1066,536,1106,913,1157,331,690,236,9999999,746,720,1414,1137,1420,747,457,711,234,1016,211,1370,1479,1144,617,1341,1115,761,697,443,1549,1172,1452,939,461,555
434,1750,1152,635,499,1693,299,220,686,769,9999999,837,1005,609,839,473,664,664,440,1510,773,2009,952,567,1243,788,531,1137,228,918,2134,466,902,500,1012,333
430,1369,1178,1169,490,1736,747,829,850,721,832,9999999,1524,1019,1405,1055,1018,221,649,1586,854,1849,1420,1180,1082,1460,920,1405,886,659,2137,1144,1366,685,1164,621
1295,2527,1976,497,1189,2385,1187,918,1228,1425,1065,1531,9999999,659,233,866,1323,1565,1347,2089,1544,2637,126,545,2079,346,772,1567,751,1683,2693,613,274,1026,1535,1207
